"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 06:11:17 GMT 2024","Tue Feb 20 06:11:20 GMT 2024","2726","","","","","","Creation of the order",""
"passed","Tue Feb 20 06:11:12 GMT 2024","Tue Feb 20 06:11:14 GMT 2024","2043","","","","","","Get a specific product from the list based on the product Id",""
"passed","Tue Feb 20 06:11:20 GMT 2024","Tue Feb 20 06:11:21 GMT 2024","670","","","","","","Unsuccessful registration - user tries to register with already used email address",""
"passed","Tue Feb 20 06:11:10 GMT 2024","Tue Feb 20 06:11:11 GMT 2024","662","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #3",""
"passed","Tue Feb 20 06:11:09 GMT 2024","Tue Feb 20 06:11:10 GMT 2024","739","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #2",""
"passed","Tue Feb 20 06:11:05 GMT 2024","Tue Feb 20 06:11:08 GMT 2024","3133","","","","","","Successful login - happy path #1",""
"passed","Tue Feb 20 06:11:09 GMT 2024","Tue Feb 20 06:11:09 GMT 2024","651","","","","","","Unsuccessful login - invalid email, invalid password, invalid email & password #1",""
"passed","Tue Feb 20 06:11:20 GMT 2024","Tue Feb 20 06:11:20 GMT 2024","881","","","","","","Successful registration - happy path",""
"passed","Tue Feb 20 06:11:08 GMT 2024","Tue Feb 20 06:11:09 GMT 2024","787","","","","","","Successful login - happy path #2",""
"passed","Tue Feb 20 06:11:14 GMT 2024","Tue Feb 20 06:11:17 GMT 2024","2689","","","","","","Add product to the cart",""
"passed","Tue Feb 20 06:11:11 GMT 2024","Tue Feb 20 06:11:12 GMT 2024","1419","","","","","","Get all products",""
